id;kirundi0;prefix;stem;stem_perf;perf;plural;type;class2;class2p;kirundi0_a;prefix_a;stem_a;stem_perf_a;noPlural;pluralFull;sourceLanguage
3979;kurihira;ku;rihira;rihiye;ye;;0;NULL;NULL;;;;;0;;NULL
3980;kurihirira;ku;rihirira;rihiriye;ye;;0;NULL;NULL;;;;;0;;NULL
3981;kurihisha;ku;rihisha;rihishije;shije;;0;NULL;NULL;;;;;0;;NULL
3982;kurihishwa;ku;rihishwa;rihishijwe;shijwe;;0;NULL;NULL;;;;;0;;NULL
3983;kurihwa;ku;rihwa;rishwe;shwe;;0;NULL;NULL;;;;;0;;NULL
3984;kurima;ku;rima;rimye;mye;;0;NULL;NULL;;;;;0;;NULL
3985;umurima;umu;rima;;;imi;1;3;4;;;;;0;;NULL
3986;uburima;ubu;rima;;;;1;14;NULL;;;;;1;;NULL
3987;kurimagura;ku;rimagura;rimaguye;ye;;0;NULL;NULL;;;;;0;;NULL
3988;kurimagurwa;ku;rimagurwa;rimaguwe;we;;0;NULL;NULL;;;;;0;;NULL
3989;kurimana;ku;rimana;rimanye;nye;;0;NULL;NULL;;;;;0;;NULL
3990;kurimanganya;ku;rimanganya;rimanganije;nije;;0;NULL;NULL;;;;;0;;NULL
3991;ikirimba;iki;rimba;;;ibi;1;7;8;;;;;0;;NULL
3992;akarimbi;aka;rimbi;;;utu;1;12;13;;;;;0;;NULL
3993;kurimbura;ku;rimbura;rimbuye;ye;;0;NULL;NULL;;;;;0;;NULL
3994;ururimi;uru;rimi;;;in;1;11;10;;;;;0;indimi;NULL
3995;kurimira;ku;rimira;rimiye;ye;;0;NULL;NULL;;;;;0;;NULL
3996;kurimisha;ku;rimisha;rimishije;shije;;0;NULL;NULL;;;;;0;;NULL
3997;umurimo;umu;rimo;;;imi;1;3;4;;;;;0;;NULL
3998;kurimwa;ku;rimwa;rimwe;mwe;;0;NULL;NULL;;;;;0;;NULL
3999;-rimwo;-;rimwo;;;;0;NULL;NULL;;;;;0;;NULL
4000;umurimyi;umu;rimyi;;;aba;1;1;2;;;;;0;;NULL
4001;kurinda;ku;rīnda;rīnze;nze;;0;NULL;NULL;;;;;0;;NULL
4002;akarinda;aka;rinda;;;utu;1;12;13;;;;;0;;NULL
4003;kurindana;ku;rindana;rindanye;nye;;0;NULL;NULL;;;;;0;;NULL
4004;irinde;i;rinde;;;;1;NULL;NULL;;;;;1;;NULL
4005;kurindira;ku;rindira;rindiriye;riye;;0;NULL;NULL;;;;;0;;NULL
4006;kurindisha;ku;rindisha;rindishije;shije;;0;NULL;NULL;;;;;0;;NULL
4007;kurinduka;ku;rinduka;rindutse;tse;;0;NULL;NULL;;;;;0;;NULL
4008;kurindwa;ku;rindwa;rinzwe;nzwe;;0;NULL;NULL;;;;;0;;NULL
4009;umuringa;umu;ringa;;;imi;1;3;4;;;;;0;;NULL
4010;ururinga;uru;ringa;;;in;1;11;10;;;;;0;indinga;NULL
4011;kuringanira;ku;ringanira;ringaniye;ye;;0;NULL;NULL;;;;;0;;NULL
4012;kuringaniza;ku;ringaniza;ringanije;je;;0;NULL;NULL;;;;;0;;NULL
4013;ikiringo;iki;ringo;;;ibi;1;7;8;;;;;0;;NULL
4014;umurinzi;umu;rinzi;;;imi;1;3;4;;;;;0;;NULL
4015;kurira;ku;rira;rize;ze;;0;NULL;NULL;;;;;0;;NULL
4016;kurira;ku;rira;ririye;riye;;0;NULL;NULL;;;;;0;;NULL
4017;amarira;ama;rira;;;;1;NULL;6;;;;;2;;NULL
4018;uburire;ubu;rire;;;;1;14;NULL;;;;;0;;NULL
4019;uburiri;ubu;riri;;;ama;1;14;6;;;;;0;;NULL
4020;kuririmba;ku;ririmba;ririmvye;mvye;;0;NULL;NULL;;;;;0;;NULL
4021;kuririmbana;ku;ririmbana;ririmbanye;nye;;0;NULL;NULL;;;;;0;;NULL
4022;kuririmbira;ku;ririmbira;ririmbiye;ye;;0;NULL;NULL;;;;;0;;NULL
4023;kuririmbisha;ku;ririmbisha;ririmbishije;shije;;0;NULL;NULL;;;;;0;;NULL
4024;kuririmbwa;ku;ririmbwa;ririmbwe;bwe;;0;NULL;NULL;kuririmbga;;rirīmbga;mbge;0;;NULL
4025;kuririra;ku;ririra;riririye;riye;;0;NULL;NULL;;;;;0;;NULL
4026;kuririra;ku;ririra;ririye;ye;;0;NULL;NULL;;;;;0;;NULL
4027;kuririrwa;ku;ririrwa;ririwe;we;;0;NULL;NULL;;;;;0;;NULL
4028;umuriro;umu;riro;;;imi;1;3;4;;;;;0;;NULL
4029;iriro;i;riro;;;ama;1;5;6;;;;;0;;NULL
4030;kurisha;ku;risha;rishije;shije;;0;NULL;NULL;;;;;0;;NULL
4031;umurisho;umu;risho;;;imi;1;3;4;;;;;0;;NULL
4032;kurishwa;ku;rishwa;rishijwe;shijwe;;0;NULL;NULL;;;;;0;;NULL
4033;kuriza;ku;riza;rijije;jije;;0;NULL;NULL;;;;;0;;NULL
